state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
alabama,25485,26513,28371,29802,31315,32581,33430,32685,33696,34717,35497,35792,36903,38238,38918,39976
alaska,34271,35591,36791,38876,40845,43723,47791,46834,48614,51438,52667,51463,54621,56507,55674,56042
arizona,27154,28166,29978,32288,34705,35751,35717,33746,33565,34930,36096,36605,38127,39731,40546,41633
arkansas,24237,25467,26807,27952,29308,30972,32141,31372,31801,33790,36167,36007,38007,39060,39722,40791
california,33901,35234,37551,39521,42334,43692,44162,42224,43323,45854,48359,48555,51317,54664,56308,58272
colorado,34805,35132,35947,38025,40143,41996,42663,39838,39930,42972,45120,46869,50021,51956,52097,53504
connecticut,45017,45468,47710,50226,54191,57919,61232,60428,62121,63813,64961,64016,66405,68155,69094,70121
delaware,37850,38187,3.90E+04,39469,41343,41834,41832,41317,41093,43714,43577,43850,45116,47069,47837,49125
district of columbia,45551,46452,51060,53870,57025,60325,62103,59998,61875,65790,66564,66443,69851,73834,75756,76986
florida,31319,32144,34063,36268,38738,39788,39655,37065,38631,40493,41006,40791,43045,45388,45855,46858
georgia,29930,30647,31856,33266,34665,35516,35306,34361,34646,36672,36876,37183,39142,41020,42146,43270
hawaii,31399,32581,34511,36528,38648,40441,42073,41473,41727,42858,44398,44590,46640,48823,50358,51939
idaho,26182,26689,28355,29311,31357,32580,33031,31436,31728,33316,34722,35761,37258,38931,39543,40507
illinois,34483,34984,36228,37648,40124,42265,43358,40994,41699,43716,45627,46607,48809,50745,51679,52808
indiana,28941,29406,30479,31077,32747,33717,35139,34084,35083,37265,38829,39158,40482,41862,43091,44165
iowa,28956,29478,31866,32609,34434,36681,38787,37365,37952,40878,42607,43217,44351,45800,46056,45996
kansas,29385,30147,30669,32268,35353,37865,41179,39204,39212,42532,44810,45865,46565,47009,47221,47603
kentucky,25965,26483,27906,29013,30440,31583,32966,32304,33031,34490,35586,35596,37021,38504,38934,39393
louisiana,25868,26503,27493,29422,33276,35776,37796,36284,37227,38156,40026,40100,42004,42835,42257,43491
maine,29442,30668,32072,32669,34302,35558,36998,36952,37533,38942,39814,39703,41209,42875,44094,45072
maryland,37792,39069,41550,43302,45832,47365,49428,48845,49885,52093,53323,52653,54036,56197,57972,59524
massachusetts,39856,40805,42856,44842,48307,50417,52283,51412,53058,55230,57178,57145,59226,62755,64122,65890
michigan,30729,31306,32167,32813,33638,34691,35644,33966,35206,37400,38702,39213,40835,43072,44231,45255
minnesota,33754,35174,37048,37775,39407,41258,42980,40739,42122,44639,47236,47274,49248,51139,51990,53043
mississippi,23055,23862,25061,26574,27711,29237,30563,29801,30568,31764,32942,33358,34257,34804,35524,36346
missouri,29162,30138,31586,32430,34144,35562,37289,36425,36735,38119,39865,39864,41141,42406,42939,43661
montana,24928,26383,28128,29765,31809,33803,35448,34318,35462,37817,39887,39602,40862,42637,43107,43907
nebraska,30534,32253,33444,34130,35512,38082,40248,39226,40520,44882,46087,45905,48425,49572,50016,50395
nevada,32441,33405,35679,38637,39930,40137,38815,36280,36826,37989,39213,38938,40737,43128,43579,44626
new hampshire,37131,37603,39613,40922,43763,45199,46365,45742,47154,49562,51844,51611,52400,54543,55945,57574
new jersey,41308,42211,43907,45354,48360,50570,52330,50567,51330,53562,55236,55425,57518,60069,61240,62554
new mexico,25074,25861,27182,28755,30364,31703,33447,32523,33111,34737,35431,34753,36767,37938,38393,39023
new york,37096,37755,39622,41457,44448,47467,48296,46916,48145,50770,53689,54388,56111,58324,59289,60991
north carolina,27777,28535,30611,32238,34112,36013,37810,35840,35275,36429,38564,37782,39531,41351,42203,43303
north dakota,27309,29616,29775,31521,32801,36325,41213,40134,43661,48635,56245,55742,58202,55643,54801,54643
ohio,29577,30393,31671,32523,34148,35488,36681,35610,36360,38821,40282,40694,42200,43803,44561,45615
oklahoma,25697,26720,28676,31062,34019,35133,38744,34920,35912,38470,41117,42713,45215,43999,42717,43449
oregon,28915,29832,31436,32421,34721,35858,37149,35409,35701,37413,39161,39582,41866,44424,45482,46361
pennsylvania,31908,32963,34916,36247,38060,40302,41932,40696,42005,44026,45884,46132,47978,49815,50730,52096
rhode island,32730,34272,35757,36927,39106,40912,41977,40936,42750,44329,46166,46326,47831,49744,50373,51503
south carolina,25948,26575,27814,28958,30577,31956,32877,31635,32161,33803,35261,35307,37042,38802,39527,40421
south dakota,27856,30278,32168,33772,35203,38729,41311,39524,41068,44686,45142,44758,46089,47882,48051,48281
tennessee,28090,29041,30455,31439,32950,34117,35322,34635,35657,37465,38800,38838,40156,42156,43338,44266
texas,29204,29789,30551,32793,35008,36630,39534,36695,37896,40828,43166,43390,45861,46787,46204,46942
utah,25084,25657,26891,28759,31154,32965,33932,31619,31684,33714,35564,36092,37726,39775,41018,42043
vermont,31089,32200,34045,34668,36944,38866,40847,40221,40925,43468,44949,45672,47203,49002,50084,51114
virginia,34364,36008,38066,40319,42654,44554,45707,44232,45343,47563,49322,48496,50160,52189,52941,54244
washington,33505,34471,36660,37759,40357,43192,44794,41844,42206,44224,47368,47846,50942,53119,54632,56283
west virginia,24481,24834,25595,26593,28406,29323,31273,31412,32080,34001,34831,34663,35747,36566,36673,37924
wisconsin,31538,32080,33246,34173,36133,37573,38873,38012,38596,40777,42575,42774,44351,46025,46809,47850
wyoming,31416,33264,34974,38232,43208,44719,48541,43549,45461,49493,52783,52749,56379,56322,55172,56724
